Customer_Id,Recency,Frequency,Monetary,Churn,Predicted_Churn
12867,25,7,4009.34,0,0
12868,185,6,1607.06,1,0
12871,83,2,380.64,0,0
12872,326,2,599.97,1,0
12873,281,1,374,1,1
12875,142,2,343.23,1,0
12876,57,2,2218.02,0,0
12877,3,12,1535.77,0,0
12878,235,2,854.99,1,0
12879,44,3,573.22,0,0
12881,275,1,298,1,1
12882,8,2,1463.04,0,0
12883,24,4,703.47,0,0
12884,87,1,309.05,0,1
12885,62,3,1175.22,0,0
12886,67,2,1378.4,0,0
12888,213,2,354.12,1,0
12890,23,1,376.72,0,1
12891,185,3,331,1,0
12893,30,1,176.55,0,1
12895,41,2,372.8,0,0
12897,204,2,216.5,1,0
12901,8,28,17654.54,0,0
12902,264,1,138.68,1,1
12904,17,2,496.06,0,0
12906,11,5,2919.81,0,0
12908,175,2,750,1,0
12909,39,5,2178.67,0,0
12910,22,8,3075.04,0,0
12912,2,5,1662.3,0,0
12913,4,5,2483.63,0,0
12915,148,2,363.65,1,0
12916,138,4,2944.95,1,0
12917,127,1,594,1,1
12919,7,6,1335.19,0,0
12920,16,1,162.78,0,1
12921,8,37,16587.09,0,0
12922,160,1,405.38,1,1
12923,63,1,172.82,0,1
12924,87,4,933.7,0,0
12925,4,2,694.05,0,0
12928,34,5,2062.7,0,0
12929,311,1,117.85,1,1
12930,77,2,415.8,0,0
12931,21,15,42055.96,0,0
12933,23,3,607.53,0,0
12935,1,7,2160.7,0,0
12936,16,4,1063.9,0,0
12937,14,4,1504.27,0,0
12938,25,1,114.14,0,1
12939,63,8,11581.8,0,0
12940,54,2,899.69,0,0
12942,130,3,675.6,1,0
12944,35,2,604.51,0,0
12945,287,1,462.95,1,1
12947,143,6,1603.99,1,0
12948,15,7,2064.95,0,0
12949,30,8,4167.22,0,0
12950,1,3,1843,0,0
12951,8,6,1064.07,0,0
12952,5,4,1387.79,0,0
12953,9,1,329.85,0,1
12955,0,11,4757.16,0,0
12956,305,1,108.07,1,1
12957,9,8,4017.54,0,0
12962,6,2,266.39,0,0
12963,7,8,1856.63,0,0
12965,88,1,769.81,0,1
12966,9,1,160.18,0,1
12967,357,2,1660.9,1,0
12968,111,1,135.95,1,1
12970,6,4,405.47,0,0
12971,3,86,11189.91,0,0
12974,197,1,144.8,1,1
12976,211,1,738.6,1,1
12977,155,1,39.24,1,1
12980,157,9,7374.9,1,0
12981,29,2,372.22,0,0
12982,242,1,390.54,1,1
12984,18,1,97.5,0,1
12985,0,2,1239.38,0,0
12987,73,2,558.7,0,0
12988,291,1,505.82,1,1
12989,2,15,6924.11,0,0
12990,30,3,409.5,0,0
12991,22,2,503.76,0,0
12993,22,4,414.76,0,0
12994,3,3,974.42,0,0
12995,84,1,211.32,0,1
12997,21,4,1226.89,0,0
12999,195,3,455.88,1,0
13000,106,3,534.85,1,0
13001,3,13,9785.97,0,0
13002,317,1,120.95,1,1
13003,105,3,149.05,1,0
13004,11,18,5655.91,0,0
13005,173,2,513.7,1,0
13006,55,1,81.57,0,1
13008,322,1,229.47,1,1
13011,371,1,50.55,1,1
13012,8,8,1646.84,0,0
13013,0,13,4810.94,0,0
13014,10,10,3466.28,0,0
13015,52,5,3339.64,0,0
13016,72,3,789.89,0,0
13017,6,1,204,0,1
13018,15,28,7277.7,0,0
13021,3,9,2616.38,0,0
13023,63,2,689.9,0,0
13026,0,5,975.36,0,0
13027,113,6,6912,1,0
13028,22,2,661.32,0,0
13029,30,3,1247.5,0,0
13030,10,2,752.44,0,0
13032,51,2,1010.18,0,0
13033,356,1,190.55,1,1
13034,54,2,642.77,0,0
13035,73,2,921.88,0,0
13037,137,3,881.07,1,0
13038,79,3,908.46,0,0
13040,8,2,676.99,0,0
13043,272,1,516.42,1,1
13044,290,1,560.47,1,1
13045,98,1,305.28,1,1
13046,30,2,629.31,0,0
13047,31,10,3237.54,0,0
13048,13,4,1819.41,0,0
13049,63,2,656.68,0,0
13050,14,17,5836.86,0,0
13052,211,1,348.15,1,1
13055,77,3,1214.41,0,0
13058,24,3,271.4,0,0
13059,249,1,183.4,1,1
13060,253,1,307.53,1,1
13061,71,1,248.61,0,1
13062,190,1,346.98,1,1
13064,12,4,1105.59,0,0
13065,372,1,205.86,1,1
13066,23,2,470.8,0,0
13067,81,1,115.46,0,1
13068,9,2,344,0,0
13069,0,24,4431.44,0,0
13070,191,1,228.8,1,1
13072,266,1,177.15,1,1
13075,129,1,919.61,1,1
13077,0,4,728.02,0,0
13078,2,26,12627.94,0,0
13079,3,5,220.1,0,0
13080,178,1,58.08,1,1
13081,11,11,28337.38,0,0
13082,125,9,3613.63,1,0
13083,3,2,303.75,0,0
13085,157,2,416.08,1,0
13089,2,97,58762.08,0,0
13090,8,14,8910.82,0,0
13091,27,1,345.82,0,1
13092,70,5,477.83,0,0
13093,275,8,7832.47,1,0
13094,20,12,1927.32,0,0
13095,70,1,74.4,0,1
13097,32,10,6003.22,0,0
13098,0,28,28882.44,0,0
13099,98,1,207.36,1,1
13101,233,1,101.19,1,1
13102,0,24,6424.09,0,0
13103,39,1,243.94,0,1
13104,2,6,1098.48,0,0
13106,132,1,76.5,1,1
13107,43,4,1531.62,0,0
13108,372,1,350.06,1,1
13109,59,2,786.54,0,0
13110,30,7,1488.67,0,0
13113,0,24,12245.96,0,0
13115,11,4,2294.78,0,0
13116,137,1,501.14,1,1
13117,21,8,984.91,0,0
13118,19,5,1197.81,0,0
13120,238,1,30.6,1,1
13121,268,1,283.73,1,1
13122,93,2,922.39,1,0
13124,89,3,3756.33,0,0
13126,4,8,2099.64,0,0
13127,77,1,259.17,0,1
13130,93,1,64,1,1
13131,22,3,1073.3,0,0
13132,261,1,77.3,1,1
13133,273,2,109.8,1,0
13134,85,4,1793.58,0,0
13135,196,1,3096,1,1
13136,55,5,2607.61,0,0
13137,10,8,3603.29,0,0
13138,21,6,962.39,0,0
13139,15,7,5064.94,0,0
13140,107,3,422.47,1,0
13141,84,5,2388.75,0,0
13142,18,1,307.09,0,1
13144,332,1,110.95,1,1
13145,39,4,618.52,0,0
13146,25,1,228.91,0,1
13147,9,4,712.8,0,0
13148,28,12,3683.26,0,0
13149,13,4,1676.06,0,0
13151,295,1,1257.87,1,1
13153,5,1,486.22,0,1
13155,32,4,971.76,0,0
13157,48,4,1741.22,0,0
13158,94,4,1201.06,1,0
13159,8,4,1429.35,0,0
13160,21,1,91.8,0,1
13161,312,1,112.75,1,1
13162,121,4,1688.29,1,0
13165,45,2,1021.48,0,0
13166,282,1,417.2,1,1
13167,18,4,791.33,0,0
13168,35,4,1299.59,0,0
13169,63,2,712.88,0,0
13170,26,1,108.81,0,1
13171,21,3,468.41,0,0
13173,3,2,353.65,0,0
13174,15,3,2742.82,0,0
13176,45,1,481.49,0,1
13177,64,1,282.45,0,1
13178,25,11,5725.47,0,0
13182,44,1,121.18,0,1
13183,7,9,3957.78,0,0
13184,14,10,1668.95,0,0
13185,267,1,71.4,1,1
13186,39,3,1575.89,0,0
13187,336,1,236.02,1,1
13188,10,1,114.6,0,1
13189,18,2,260.68,0,0
13192,94,2,911.94,1,0
13193,60,1,112.08,0,1
13194,135,1,60.7,1,1
13196,10,4,1797.78,0,0
13198,9,6,3401.24,0,0
13199,3,38,9817.12,0,0
13200,18,4,870.09,0,0
13203,9,4,869.46,0,0
13207,14,2,250.26,0,0
13208,58,6,1217.65,0,0
13209,29,8,5891.61,0,0
13210,93,1,353.48,1,1
13211,9,3,1095.42,0,0
13212,19,3,786.83,0,0
13213,56,5,1520.58,0,0
13216,267,1,333.74,1,1
13217,121,3,533.98,1,0
13218,126,1,62.64,1,1
13220,77,4,819.29,0,0
13221,239,2,847.41,1,0
13223,199,2,163.2,1,0
13224,59,2,2155.95,0,0
13225,2,7,6463.84,0,0
13226,272,1,108.21,1,1
13227,201,1,257.7,1,1
13228,80,1,358,0,1
13229,225,1,160.95,1,1
13230,3,14,2755.63,0,0
13232,12,7,1328.35,0,0
13233,73,2,605.12,0,0
13235,211,1,1031.07,1,1
13236,24,2,744.85,0,0
13238,16,4,700.73,0,0
13239,261,1,329.56,1,1
13240,95,4,663.65,1,0
13242,111,3,270.4,1,0
13243,202,1,585.12,1,1
13244,92,1,121.74,1,1
13245,50,1,430.5,0,1
13246,17,6,1961.52,0,0
13247,17,4,501.12,0,0
13248,124,2,465.68,1,0
13249,91,3,711.41,1,0
13253,156,2,1030.4,1,0
13255,8,2,399.51,0,0
13256,13,1,0,0,1
13258,11,3,672.83,0,0
13259,61,1,283.18,0,1
13260,60,1,557.62,0,1
13261,268,2,944.1,1,0
13262,262,1,200.29,1,1
13263,0,35,7436.93,0,0
13265,52,5,2092.66,0,0
13266,10,12,3834.26,0,0
13267,2,19,4521.49,0,0
13268,17,11,3174.75,0,0
13269,0,15,5343.28,0,0
13270,365,1,590,1,1
13271,36,1,211.49,0,1
13272,30,2,276.56,0,0
13273,112,1,138.98,1,1
13276,63,2,590.93,0,0
13277,15,4,258.4,0,0
13278,40,1,542.73,0,1
13279,77,1,137.75,0,1
13280,121,3,798.46,1,0
13282,17,3,1132.14,0,0
13283,59,2,93.66,0,0
13284,330,1,201.19,1,1
13285,22,4,2709.12,0,0
13291,155,1,361.11,1,1
13292,38,2,578.94,0,0
13294,189,2,873.74,1,0
13295,359,1,201.2,1,1
13296,136,1,87.4,1,1
13297,7,4,2089.85,0,0
13298,0,1,360,0,1
13299,267,1,142.5,1,1
13300,168,1,371.89,1,1
13301,103,4,618.09,1,0
13302,154,1,63.75,1,1
13304,350,1,300.42,1,1
13305,3,10,2000.86,0,0
13307,119,1,15,1,1
13308,22,3,1385.51,0,0
13309,6,5,1456.79,0,0
13310,27,3,1132.03,0,0
13311,3,2,598.57,0,0
13313,21,5,1555.32,0,0
13314,1,3,775.94,0,0
13316,36,4,5732.93,0,0
13317,65,6,2273.68,0,0
13318,0,3,640.76,0,0
13319,4,26,10845.55,0,0
13320,77,4,1532.2,0,0
13321,71,2,567.36,0,0
13322,16,1,199.48,0,1
13323,2,5,787.85,0,0
13324,35,10,7121.95,0,0
13325,81,1,675.3,0,1
13327,38,8,3627.77,0,0
13328,315,1,1308.48,1,1
13329,31,2,789,0,0
13330,92,3,1140.93,1,0
13332,13,1,350.9,0,1
13334,81,3,3502.32,0,0
13336,76,1,795.12,0,1
13338,157,1,487.02,1,1
13339,200,1,860.12,1,1
13340,44,7,10736.48,0,0
13341,260,1,775.85,1,1
13343,177,1,353.43,1,1
13344,67,3,2511.69,0,0
13345,287,1,389.5,1,1
13347,69,1,341.36,0,1
13348,63,1,233.76,0,1
13349,10,1,247.32,0,1
13350,15,2,979.12,0,0
13351,65,1,373.94,0,1
13352,59,1,397.98,0,1
13354,70,1,743.53,0,1
13355,121,1,674.7,1,1
13356,79,1,768.24,0,1
13357,256,1,609.4,1,1
13358,268,1,439.03,1,1
13359,63,1,439.56,0,1
13362,8,4,3090.74,0,0
13363,17,2,992.5,0,0
13364,70,1,134.96,0,1
13365,33,2,2225.37,0,0
13366,49,1,56.16,0,1
13368,256,2,623.4,1,0
13369,365,1,308.28,1,1
13370,371,1,754.87,1,1
13372,89,1,378.64,0,1
13373,60,3,3312.25,0,0
13375,88,1,778.65,0,1
13376,98,3,1019.76,1,0
13379,25,3,572.56,0,0
13381,31,6,3639.31,0,0
13382,280,1,222.99,1,1
13384,30,7,4151.93,0,0
13385,329,1,534.57,1,1
13388,130,2,677.1,1,0
13389,10,3,797.96,0,0
13390,74,1,544.08,0,1
13391,203,1,59.8,1,1
13394,1,8,2520.02,0,0
13395,184,1,307.72,1,1
13396,28,2,1360.99,0,0
13397,72,5,1544.13,0,0
13398,191,1,457.34,1,1
13402,126,2,621.23,1,0
13403,17,1,75,0,1
13404,0,2,252.49,0,0
13405,73,3,572.451,0,0
13408,1,62,28117.04,0,0
13410,23,5,1003.06,0,0
13411,106,1,213.55,1,1
13414,133,3,1390.5,1,0
13416,43,2,712.5,0,0
13417,4,2,640.83,0,0
13418,11,18,6127.43,0,0
13419,63,1,221.06,0,1
13420,149,2,159.85,1,0
13421,39,2,1833.71,0,0
13422,63,1,2626.3,0,1
13425,107,3,1624.21,1,0
13426,0,10,3641.32,0,0
13427,18,3,582.6,0,0
13428,9,1,201.78,0,1
13429,10,4,1006.8,0,0
13430,18,2,679.45,0,0
13431,66,2,1269.1,0,0
13434,73,2,534.24,0,0
13435,4,7,3809.89,0,0
13436,1,1,196.89,0,1
13437,13,7,3408.06,0,0
13439,254,1,283.71,1,1
13441,91,1,296.64,1,1
13447,22,3,1129.14,0,0
13448,16,6,3534.69,0,0
13449,23,1,291.88,0,1
13450,26,6,2043.72,0,0
13451,25,5,2898.26,0,0
13452,258,2,590,1,0
13453,165,2,356.98,1,0
13455,24,2,1058.34,0,0
13456,17,6,1766.72,0,0
13458,6,14,9646.57,0,0
13460,28,2,183.44,0,0
13461,38,3,1445,0,0
13462,252,1,151.5,1,1
13464,57,1,674.68,0,1
13466,183,1,307.9,1,1
13467,10,2,1071.91,0,0
13468,1,37,5704.97,0,0
13470,98,2,165,1,0
13471,0,4,2501.84,0,0
13473,60,2,422.64,0,0
13474,235,1,226.84,1,1
13475,190,4,1431.78,1,0
13476,178,2,1238.47,1,0
13477,37,6,1454.58,0,0
13479,200,2,300.95,1,0
13481,45,5,1804.56,0,0
13482,231,1,184.64,1,1
13483,65,1,140.34,0,1
13484,240,1,313.8,1,1
13485,232,1,454.24,1,1
13486,77,3,1122.41,0,0
13487,57,3,575.4,0,0
13488,16,13,8968.31,0,0
13489,104,4,449.52,1,0
13491,51,10,1215.82,0,0
13492,135,3,1269.84,1,0
13493,274,2,618.63,1,0
13494,311,1,316.26,1,1
13495,7,5,2044.87,0,0
13496,10,2,653.33,0,0
13497,282,2,348.05,1,0
13499,17,5,1159.11,0,0
13500,22,3,1166.77,0,0
13501,287,1,1340.32,1,1
13502,16,3,292,0,0
13503,70,1,216.85,0,1
13504,63,1,295.93,0,1
13505,72,4,4393.63,0,0
13506,315,2,458.52,1,0
13507,2,4,2479.16,0,0
13508,243,1,110.97,1,1
13509,8,7,979.72,0,0
13510,0,4,1791.56,0,0
13512,260,1,251.21,1,1
13513,126,1,205.1,1,1
13514,73,1,152.2,0,1
13515,72,4,891.12,0,0
13516,20,3,1389.41,0,0
13517,59,3,2128.42,0,0
13518,85,1,627.16,0,1
13519,77,1,122.75,0,1
13520,58,6,3624.35,0,0
13521,0,3,1071.73,0,0
13522,29,1,125.8,0,1
13523,32,5,3964.88,0,0
13524,40,5,680.18,0,0
13525,14,2,628.78,0,0
13527,33,7,2242.36,0,0
13529,78,2,307.76,0,0
13531,204,2,483.8,1,0
13532,33,1,210.31,0,1
13533,182,3,269.09,1,0
13534,1,25,5870.08,0,0
13536,0,7,3444.39,0,0
13538,42,7,1280.85,0,0
13539,85,3,631.34,0,0
13544,39,2,276.06,0,0
13546,11,3,621.09,0,0
13548,95,2,678.16,1,0
13549,25,7,918.2,0,0
13551,318,1,91.8,1,1
13552,65,12,3740.07,0,0
13555,73,4,4098.88,0,0
13557,27,2,584.06,0,0
13558,5,4,594.52,0,0
13560,6,1,171.42,0,1
